policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,overthreshold_shard_epoch,suite
risk_triggered_random_partner,120009,0.5,7.708333333333333,0.0176826131687242,0.2177211934156378,0.0147231214674582,0.7916666666666666,4.833333333333333,52.2302451666666,0.0555555555555555,heldout
risk_triggered_random_partner,120010,0.4583333333333333,7.583333333333333,0.0184542181069958,0.2147633744855967,0.0256908164524311,0.8333333333333334,4.333333333333333,52.83198737500072,0.0509259259259259,heldout
risk_triggered_random_partner,120011,0.2916666666666667,7.25,0.015625,0.2139917695473251,0.0157232607771154,0.8333333333333334,4.166666666666667,59.41440362499861,0.037037037037037,heldout
risk_triggered_random_partner,120012,0.625,7.791666666666667,0.0206404320987654,0.2224151234567901,0.0182067030763323,1.0,5.583333333333333,52.67301083333109,0.0694444444444444,heldout
risk_triggered_random_partner,120013,0.4166666666666667,7.5,0.0172968106995884,0.2164994855967078,0.0124421020977258,0.7083333333333334,3.6666666666666665,53.67196504166572,0.0462962962962962,heldout
risk_triggered_random_partner,120014,0.4166666666666667,7.958333333333333,0.0250771604938271,0.2175925925925926,0.0019942410569031,0.625,3.333333333333333,52.51461604166726,0.0462962962962962,heldout
risk_triggered_random_partner,120015,1.0,9.583333333333334,0.0516975308641975,0.2160493827160493,0.0122364291087847,0.9583333333333334,3.4166666666666665,53.04571204166327,0.162037037037037,heldout
risk_triggered_random_partner,120016,0.0,7.0,0.014210390946502,0.2220936213991769,0.008135467126996,0.9166666666666666,1.4166666666666667,58.77102620833104,0.0,heldout
risk_triggered_random_partner,120017,1.0,11.916666666666666,0.0951646090534979,0.1792052469135802,0.0036920292386119,1.0,0.25,61.32359679166299,0.1111111111111111,heldout
risk_triggered_random_partner,120018,0.5416666666666666,7.5,0.0200617283950617,0.21875,0.0224830723511369,0.9166666666666666,4.416666666666667,59.14631408333548,0.0694444444444444,heldout
risk_triggered_random_partner,120019,0.5416666666666666,7.791666666666667,0.0195473251028806,0.2167566872427983,0.0167969479885833,0.7916666666666666,3.75,53.536282833332415,0.0648148148148148,heldout
risk_triggered_random_partner,120020,0.1666666666666666,6.875,0.0145318930041152,0.2186213991769547,0.0166210680865306,0.7916666666666666,3.6666666666666665,56.879871791662616,0.0185185185185185,heldout
risk_triggered_random_partner,120021,0.375,7.791666666666667,0.0215406378600823,0.2147633744855967,0.0108613216780594,0.7916666666666666,3.25,57.11392508333427,0.0416666666666666,heldout
risk_triggered_random_partner,120022,0.375,7.583333333333333,0.0182613168724279,0.2165637860082304,0.0077638841611649,0.7916666666666666,3.333333333333333,52.45855158333038,0.0416666666666666,heldout
risk_triggered_random_partner,120023,0.5833333333333334,7.666666666666667,0.0191615226337448,0.2218364197530864,0.0209338278745197,0.9166666666666666,5.416666666666667,51.81949483333289,0.0648148148148148,heldout
