policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,malicious_fraction
risk_aware_exchange,70288,0.5833333333333334,8.208333333333334,0.0322145061728395,0.2416409465020576,0.0309821455779704,0.875,8.833333333333334,52.383732750011326,0.28
risk_aware_exchange,70289,0.5833333333333334,8.208333333333334,0.034400720164609,0.2447916666666666,0.0305304671004857,1.0,10.333333333333334,53.14167516667112,0.28
risk_aware_exchange,70290,0.4583333333333333,8.375,0.0440457818930041,0.2372042181069958,0.0351421791695971,0.7916666666666666,8.75,51.81239479165356,0.28
risk_aware_exchange,70291,0.5833333333333334,8.0,0.0316358024691358,0.2376543209876543,0.0201984719233892,0.75,8.333333333333334,51.34469029167121,0.28
no_reconfig,70328,1.0,9.0,0.0652649176954732,0.2914094650205761,0.0358561536780866,1.0,0.0,0.8666840833484457,0.32
no_reconfig,70329,1.0,10.0,0.0745884773662551,0.2880658436213992,0.0614883954468789,1.0,0.0,0.9040972083293278,0.32
no_reconfig,70330,1.0,11.0,0.0994727366255144,0.2671682098765432,0.0447231528131856,1.0,0.0,0.8605960000049132,0.32
no_reconfig,70331,1.0,10.0,0.1054526748971193,0.2832433127572016,0.0264666284660474,1.0,0.0,0.9056355000041094,0.32
risk_aware_exchange,70328,1.0,9.416666666666666,0.062307098765432,0.2835648148148148,0.0391669603300357,1.0,8.25,51.33061299998568,0.32
risk_aware_exchange,70329,1.0,10.125,0.0792824074074074,0.2827289094650205,0.0410261428894079,0.9583333333333334,8.833333333333334,53.86010999997856,0.32
risk_aware_exchange,70330,1.0,10.166666666666666,0.0806327160493827,0.277906378600823,0.039843131778794,1.0,9.416666666666666,52.2852991250223,0.32
risk_aware_exchange,70331,1.0,10.0,0.1059670781893004,0.2834362139917695,0.0267754467216431,1.0,0.3333333333333333,52.41307962498354,0.32
